"","C","d","D","e","E","F","g","G","a","A","b","B"
"C",0.911,7.62e-05,0.00229,0.000203,0.000965,0.000533,0,0.00114,5.08e-05,0.00109,0.00114,0.000356
"d",0.00625,0.829,0.0167,0,0,0.00416,0,0,0,0,0,0.00208
"D",0.00407,0.000361,0.904,0.000271,0.00163,0.00131,0,0.000542,0,0.000407,0.000226,0.000361
"e",0.00267,0,0.00201,0.876,0.000334,0.00401,0,0.00334,0,0,0.00301,0
"E",0.004,0,0.00379,0.000105,0.869,0.00284,0.000105,0.00516,0,0.000843,0,0.000211
"F",0.000933,8.89e-05,0.00129,0.000533,0.0012,0.908,0,0.00333,0.000133,0.000533,0.000356,0
"g",0,0,0,0,0.25,0,0.5,0,0,0,0,0
"G",0.00108,0,0.000289,0.000241,0.00118,0.00181,0,0.918,0.00012,0.00147,0.000433,0.000169
"a",0.00225,0,0,0,0,0.00338,0,0.00563,0.836,0.0135,0.00225,0
"A",0.00352,0,0.000737,0,0.000655,0.000982,0,0.00499,0.000982,0.884,0.000982,0.000491
"b",0.00762,0,0.000846,0.00152,0,0.00135,0,0.00305,0.000339,0.00203,0.868,0.000677
"B",0.0107,0.000767,0.00614,0,0.00153,0,0,0.00537,0,0.0046,0.00307,0.821
